route_id,route_name,direction,stop_id,stop_name,stop_sequence,latitude,longitude,service_start_time,service_end_time,headway_seconds
R1,도심순환,UP,S01,샘플정류장1,1,37.501,127.1,06:00,23:00,600
R1,도심순환,UP,S02,샘플정류장2,2,37.502,127.2,06:00,23:00,600
R1,도심순환,UP,S03,샘플정류장3,3,37.503,127.3,06:00,23:00,600
R1,도심순환,UP,S04,샘플정류장4,4,37.504,127.4,06:00,23:00,600
R1,도심순환,UP,S05,샘플정류장5,5,37.505,127.5,06:00,23:00,600
R1,도심순환,UP,S06,샘플정류장6,6,37.506,127.6,06:00,23:00,600
R1,도심순환,UP,S07,샘플정류장7,7,37.507,127.7,06:00,23:00,600
R1,도심순환,UP,S08,샘플정류장8,8,37.508,127.8,06:00,23:00,600
R1,도심순환,UP,S09,샘플정류장9,9,37.509,127.9,06:00,23:00,600
R1,도심순환,UP,S10,샘플정류장10,10,37.510,127.10,06:00,23:00,600
R2,외곽연결,DOWN,S11,샘플정류장11,1,37.511,127.11,06:00,23:00,600
R2,외곽연결,DOWN,S12,샘플정류장12,2,37.512,127.12,06:00,23:00,600
R2,외곽연결,DOWN,S13,샘플정류장13,3,37.513,127.13,06:00,23:00,600
R2,외곽연결,DOWN,S14,샘플정류장14,4,37.514,127.14,06:00,23:00,600
R2,외곽연결,DOWN,S15,샘플정류장15,5,37.515,127.15,06:00,23:00,600
R2,외곽연결,DOWN,S16,샘플정류장16,6,37.516,127.16,06:00,23:00,600
R2,외곽연결,DOWN,S17,샘플정류장17,7,37.517,127.17,06:00,23:00,600
R2,외곽연결,DOWN,S18,샘플정류장18,8,37.518,127.18,06:00,23:00,600
R2,외곽연결,DOWN,S19,샘플정류장19,9,37.519,127.19,06:00,23:00,600
R2,외곽연결,DOWN,S20,샘플정류장20,10,37.520,127.20,06:00,23:00,600

