transaction_id,transaction_time,route_id,boarding_stop_id,alighting_stop_id,journey_key,transaction_type
T001,2026-08-31T07:00:00,R1,S01,S02,J001,BOARDING
T002,2026-08-31T08:00:00,R2,S12,S13,J002,BOARDING
T003,2026-08-31T09:00:00,R1,S03,S04,J003,BOARDING
T004,2026-08-31T10:00:00,R2,S14,S15,J004,BOARDING
T005,2026-08-31T11:00:00,R1,S05,,J005,BOARDING
T006,2026-08-31T12:00:00,R2,S16,S17,J006,BOARDING
T007,2026-08-31T13:00:00,R1,S07,S08,J007,BOARDING
T008,2026-08-31T14:00:00,R2,S18,S19,J008,BOARDING
T009,2026-08-31T15:00:00,R1,S09,S10,J009,BOARDING
T010,2026-08-31T16:00:00,R2,S20,,J010,BOARDING
T011,2026-08-31T17:00:00,R1,S01,S02,J011,BOARDING
T012,2026-08-31T18:00:00,R2,S12,S13,J012,BOARDING
T013,2026-08-31T19:00:00,R1,S03,S04,J013,BOARDING
T014,2026-08-31T20:00:00,R2,S14,S15,J014,BOARDING
T015,2026-08-31T21:00:00,R1,S05,,J015,BOARDING
T016,2026-08-31T22:00:00,R2,S16,S17,J016,BOARDING
T017,2026-08-31T06:00:00,R1,S07,S08,J017,BOARDING
T018,2026-08-31T07:00:00,R2,S18,S19,J018,BOARDING
T019,2026-08-31T08:00:00,R1,S09,S10,J019,BOARDING
T020,2026-08-31T09:00:00,R2,S20,,J020,BOARDING
T021,2026-08-31T10:00:00,R1,S01,S02,J021,BOARDING
T022,2026-08-31T11:00:00,R2,S12,S13,J022,BOARDING
T023,2026-08-31T12:00:00,R1,S03,S04,J023,BOARDING
T024,2026-08-31T13:00:00,R2,S14,S15,J024,BOARDING
T025,2026-08-31T14:00:00,R1,S05,,J025,BOARDING
T026,2026-08-31T15:00:00,R2,S16,S17,J026,BOARDING
T027,2026-08-31T16:00:00,R1,S07,S08,J027,BOARDING
T028,2026-08-31T17:00:00,R2,S18,S19,J028,BOARDING
T029,2026-08-31T18:00:00,R1,S09,S10,J029,BOARDING
T030,2026-08-31T19:00:00,R2,S20,,J030,BOARDING
T031,2026-08-31T20:00:00,R1,S01,S02,J031,BOARDING
T032,2026-08-31T21:00:00,R2,S12,S13,J032,BOARDING
T033,2026-08-31T22:00:00,R1,S03,S04,J033,BOARDING
T034,2026-08-31T06:00:00,R2,S14,S15,J034,BOARDING
T035,2026-08-31T07:00:00,R1,S05,,J035,BOARDING
T036,2026-08-31T08:00:00,R2,S16,S17,J036,BOARDING
T037,2026-08-31T09:00:00,R1,S07,S08,J037,BOARDING
T038,2026-08-31T10:00:00,R2,S18,S19,J038,BOARDING
T039,2026-08-31T11:00:00,R1,S09,S10,J039,BOARDING
T040,2026-08-31T12:00:00,R2,S20,,J040,BOARDING
T041,2026-08-31T13:00:00,R1,S01,S02,J041,BOARDING
T042,2026-08-31T14:00:00,R2,S12,S13,J042,BOARDING
